LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,FID
Wall_120746,"Wall CT, Innsbrucker Platz",Berlin,Innsbrucker Platz   (0-24 Uhr),10825,Deutschland,13.34347128,52.47867558,1,1,0.5,1,1,1,0,1,0,74
Wall_120747,"Wall CT, Wernsdorfer Str.",Berlin,Wernsdorfer Str. ggü. 1 (0-24 Uhr),12527,Deutschland,13.64932986,52.375817,1,1,0.5,1,1,1,0,1,0,163
Wall_120748,"Wall CT, Winterfeldtplatz, Hohenstaufenstr.",Berlin,"Winterfeldtplatz, Hohenstaufenstr. 1 (0-24 Uhr)",10781,Deutschland,13.35362219,52.494878,1,1,0.5,1,1,1,0,1,0,81
Wall_120749,"Wall CT, George-Grosz-Platz, Kurfürstendamm",Berlin,"George-Grosz-Platz, Kurfürstendamm 50 (0-24 Uhr)",10707,Deutschland,13.31733472,52.50148069,1,1,0.5,1,1,1,0,1,0,18
Wall_120750,"Wall CT, Waldstr.",Berlin,Waldstr. ggü. 89 (0-24 Uhr),13156,Deutschland,13.40023511,52.58067317,1,1,0.5,1,1,1,0,1,0,32
Wall_120751,"Wall CT, Fontanestr.",Berlin,Fontanestr.   (0-24 Uhr),14193,Deutschland,13.263703,52.487504,1,1,0.5,1,1,1,0,1,0,92
Wall_120752,"Wall CT, S+U-Bhf. Wuhletal, Altentreptower Str.",Berlin,"S+U-Bhf. Wuhletal, Altentreptower Str.   (0-24 Uhr)",12621,Deutschland,13.57488685,52.51290074,1,1,0.5,1,1,1,1,1,0,130
Wall_120753,"Wall CT, U-Bhf. Kienberg, Neue Grottkauer Str.",Berlin,"U-Bhf. Kienberg, Neue Grottkauer Str.   (0-24 Uhr)",12619,Deutschland,13.59157784,52.52941862,1,1,0.5,1,1,1,1,1,0,156
Wall_120759,"Wall CT, Quedlinburger Str.",Berlin,Quedlinburger Str. hinter 1 (0-24 Uhr),12627,Deutschland,13.60470183,52.53938547,1,1,0.5,1,1,1,0,1,0,142
Wall_120760,"Wall CT, Hellersdorfer Str.",Berlin,Hellersdorfer Str. 227 (0-24 Uhr),12627,Deutschland,13.60107193,52.53581896,1,1,0.5,1,1,1,0,1,0,173
Wall_120761,"Wall CT, Roedernstr.",Berlin,Roedernstr.   (0-24 Uhr),12623,Deutschland,13.60117246,52.48255179,1,1,0.5,1,1,1,0,1,0,140
Wall_120762,"Wall CT, Elsterwerdaer Platz",Berlin,Elsterwerdaer Platz 1-3 (0-24 Uhr),12683,Deutschland,13.56090832,52.50593948,1,1,0.5,1,1,1,0,1,1,73
Wall_120763,"Wall CT, Helene-Weigel-Platz",Berlin,Helene-Weigel-Platz 4 (0-24 Uhr),12681,Deutschland,13.53803013,52.52796839,1,1,0.5,1,1,1,1,1,0,41
Wall_120764,"Wall CT, Debenzer Str.",Berlin,Debenzer Str. ggü. 36 (0-24 Uhr),12683,Deutschland,13.54735,52.500953,1,1,0.5,1,1,1,1,1,1,145
Wall_120941,"Wall CT, Rathaus Spandau, Altstädter Ring",Berlin,"Rathaus Spandau, Altstädter Ring   (0-24 Uhr)",13597,Deutschland,13.20042906,52.53547008,1,1,0.5,1,1,1,1,1,0,7
Wall_120942,"Wall CT, Imchenplatz, Imchenallee",Berlin,"Imchenplatz, Imchenallee   (0-24 Uhr)",14089,Deutschland,13.14891875,52.452525,1,1,0.5,1,1,1,1,1,0,50
Wall_120943,"Wall CT, Metzer Platz",Berlin,Metzer Platz ggü. 118 (0-24 Uhr),13595,Deutschland,13.19701243,52.52440937,1,1,0.5,1,1,1,0,1,1,56
Wall_120944,"Wall CT, Moritzstr.",Berlin,Moritzstr.   (0-24 Uhr),13597,Deutschland,13.20111111,52.53833333,1,1,0.5,1,1,1,0,1,1,47
Wall_121087,"Wall CT, Wiltbergstr.",Berlin,Wiltbergstr. 19 (0-24 Uhr),13125,Deutschland,13.49460645,52.63565558,1,1,0.5,1,1,1,0,1,0,111
Wall_121088,"Wall CT, Breite Str.",Berlin,Breite Str. 35 (0-24 Uhr),13187,Deutschland,13.40734653,52.57025395,1,1,0.5,1,1,1,0,1,1,53
Wall_121089,"Wall CT, Berliner Allee",Berlin,Berliner Allee ggü. 160 (0-24 Uhr),13086,Deutschland,13.46625556,52.55261485,1,1,0.5,1,1,1,1,1,1,135
Wall_121090,"Wall CT, Schönhauser Allee",Berlin,Schönhauser Allee hinter 137 (0-24 Uhr),10437,Deutschland,13.41194057,52.54305267,1,1,0.5,1,1,1,0,1,1,62
Wall_121091,"Wall CT, Wichertstr.",Berlin,Wichertstr. 21 (0-24 Uhr),10439,Deutschland,13.42089017,52.54864128,1,1,0.5,1,1,1,0,1,1,134
Wall_121092,"Wall CT, Wichertstr.",Berlin,Wichertstr. 43 (0-24 Uhr),10439,Deutschland,13.42732495,52.54586698,1,1,0.5,1,1,1,0,1,1,123
Wall_121093,"Wall CT, Helmholtzplatz, Raumerstr.",Berlin,"Helmholtzplatz, Raumerstr. ggü. 9 (0-24 Uhr)",10437,Deutschland,13.41865976,52.54289974,1,1,0.5,1,1,1,1,1,1,126
Wall_121094,"Wall CT, Am Falkplatz",Berlin,Am Falkplatz ggü. 5 (0-24 Uhr),10437,Deutschland,13.40542608,52.54676503,1,1,0.5,1,1,1,1,1,1,120
Wall_121095,"Wall CT, Arnswalder Platz, Bötzowstr.",Berlin,"Arnswalder Platz, Bötzowstr. ggü. 51 (0-24 Uhr)",10407,Deutschland,13.43710799,52.53359529,1,1,0.5,1,1,1,1,1,1,231
